metric,reference_model,candidate_model,n_systems,reference_macro_mean,candidate_macro_mean,candidate_minus_reference,difference_ci95_low,difference_ci95_high,candidate_better_systems,ties,relative_error_reduction_pct,relative_reduction_ci95_low,relative_reduction_ci95_high
nRMSE,model_a_weather,model_b_hybrid,37,0.1330478087389608,0.1114321544874253,-0.0216156542515355,-0.025085102232330122,-0.018157805435492093,37,0,16.246531571177783,14.194428536391225,18.160113221234152
MAE,model_a_weather,model_b_hybrid,37,0.09856574147374281,0.07899582788857804,-0.019569913585164758,-0.02193188950966721,-0.017109339198308468,37,0,19.8546810408544,18.026668172062646,21.569835313325967
MBE,model_a_weather,model_b_hybrid,37,0.06703964461818987,0.03360729232258438,-0.033432352295605476,-0.03514817394680333,-0.03206801032052044,37,0,,,
