model,label,nRMSE_mean,nRMSE_std,nRMSE_median,MAE_mean,MAE_std,MAE_median,MBE_mean,MBE_std,MBE_median
training_mean,Training mean,0.20952748043806538,0.01646393516584514,0.21235122723387923,0.17795669706798473,0.011797285039726924,0.17866535665545477,0.01332033108353859,0.029143207840315797,0.005878878651215829
time_solar_only,Time/solar only,0.1670304288244479,0.008192954325115721,0.16707445819288122,0.11934808173877183,0.008116300404929838,0.12045717241301229,0.011554113784795282,0.02878933322352525,0.0032424178821881034
model_a_weather,Model A: weather,0.13304780873896083,0.024164348018404037,0.12542145703051405,0.09856574147374284,0.018312191128696243,0.09302158863472396,0.06703964461818993,0.028132670371278545,0.058099275529385354
model_b_hybrid,Model B: hybrid,0.11143215448742531,0.017637026935485262,0.10628367851554538,0.07899582788857809,0.014040546364070108,0.0751805143116501,0.03360729232258443,0.028863274343198107,0.025798380700037066
