model,n_systems,nRMSE_mean,nRMSE_std,nRMSE_median,nRMSE_min,nRMSE_max,MAE_mean,MAE_std,MAE_median,MAE_min,MAE_max,MBE_mean,MBE_std,MBE_median,MBE_min,MBE_max
ghi_physics,37,0.12367615149554378,0.014558123850796396,0.12937011927527223,0.08590250302814935,0.1447295101684466,0.07756121260645941,0.0111397809646716,0.08172783946439759,0.04741316446894014,0.09504943327370063,-0.01699226545320965,0.03450746512354926,-0.03130471216785532,-0.07082577654884713,0.07945246819532555
training_mean,37,0.21599863283059653,0.01845505935271767,0.22068060846192608,0.17109730456020894,0.24242818458973717,0.18106458012408422,0.012990974613446058,0.1833165699209587,0.1506540924681718,0.20057388562749637,-0.0012659526069109298,0.03289127769531231,-0.013940348060303104,-0.03990308549123727,0.10590943365465885
